state,POC_Proportion,proportion_Black,proportion_Hispanic,proportion_Asian,proportion_Native_American,proportion_Other,proportion_White,total_cases,total_armed,total_unarmed,avg_age,male_count,female_count,mental_illness_cases,raw_score,murders,murders_with_firearms,active_shooter_deaths,suicides_with_firearms,population
Alabama,0.3076923076923077,0.2980769230769231,0.009615384615384616,0,0,0,0.6057692307692307,104,94,4,40.5959595959596,97,7,26,23,2,1,17,504,4830533
Alaska,0.358974358974359,0.07692307692307693,0,0.05128205128205128,0.23076923076923078,0,0.5641025641025641,39,36,3,33.28947368421053,37,2,6,8,34,12,0,120,737442
Arizona,0.4448818897637795,0.06692913385826772,0.32677165354330706,0,0.051181102362204724,0,0.42913385826771655,254,224,17,36.51639344262295,237,17,47,9,304,184,8,655,6630799
Arkansas,0.3253012048192771,0.3132530120481928,0,0.012048192771084338,0,0,0.5542168674698795,83,77,3,39.63291139240506,82,1,13,11,154,110,1,322,2957957
California,0.6007509386733417,0.15269086357947434,0.3954943679599499,0.03629536921151439,0.0050062578222778474,0.011264080100125156,0.2765957446808511,799,708,58,35.265582655826556,760,39,182,37,1745,1224,45,1571,38414128
Colorado,0.39487179487179486,0.09230769230769231,0.24615384615384617,0.02564102564102564,0.020512820512820513,0.010256410256410256,0.4666666666666667,195,178,9,35.93370165745856,189,6,25,17,174,88,23,489,5271132
Connecticut,0.42857142857142855,0.14285714285714285,0.2857142857142857,0,0,0,0.5238095238095238,21,17,2,36.285714285714285,21,0,5,36,86,60,35,92,3597168
Delaware,0.38461538461538464,0.38461538461538464,0,0,0,0,0.38461538461538464,13,11,0,33,13,0,4,24,39,33,0,60,925353
Florida,0.48,0.3171428571428571,0.1457142857142857,0.002857142857142857,0,0.014285714285714285,0.44571428571428573,350,308,27,38.83035714285714,332,18,94,22,NA,NA,29,1566,19594467
Georgia,0.46153846153846156,0.3901098901098901,0.04945054945054945,0.02197802197802198,0,0,0.4230769230769231,182,162,15,37.881355932203384,168,13,38,20,534,411,3,747,9991562
Hawaii,0.8666666666666667,0.03333333333333333,0.03333333333333333,0.3,0,0.5,0.1,30,24,2,38.172413793103445,28,2,6,29,9,6,0,28,1408765
Idaho,0.16666666666666666,0.023809523809523808,0.11904761904761904,0,0.023809523809523808,0,0.7142857142857143,42,40,1,41.075,40,2,6,10,26,15,1,200,1612785
Illinois,0.6826923076923077,0.5576923076923077,0.125,0,0,0,0.2692307692307692,104,93,5,32.77669902912621,100,4,18,27,433,364,15,496,12889580
Indiana,0.35789473684210527,0.3157894736842105,0.042105263157894736,0,0,0,0.6,95,86,5,39.02105263157895,93,2,24,25,311,238,5,523,6570518
Iowa,0.21875,0.21875,0,0,0,0,0.75,32,30,2,31.34375,30,2,7,16,42,18,0,221,3092224
Kansas,0.3,0.12,0.16,0,0.02,0,0.68,50,44,4,36.480000000000004,47,3,12,5,112,78,6,241,2894630
Kentucky,0.21052631578947367,0.15789473684210525,0.031578947368421054,0.010526315789473684,0.010526315789473684,0,0.7052631578947368,95,87,3,39.79347826086956,90,4,7,4,165,111,5,453,4398500
Louisiana,0.5779816513761468,0.5504587155963303,0.009174311926605505,0.01834862385321101,0,0,0.3577981651376147,109,94,11,36.367924528301884,107,2,23,2,453,356,6,408,4627491
Maine,0.13636363636363635,0.045454545454545456,0.045454545454545456,0,0,0.045454545454545456,0.8181818181818182,22,20,1,40.09090909090909,21,1,2,22,24,12,0,137,1328778
Maryland,0.6847826086956522,0.6413043478260869,0.03260869565217391,0.010869565217391304,0,0,0.29347826086956524,92,75,9,35.83516483516483,86,6,24,33,379,268,0,257,5936040
Massachusetts,0.45714285714285713,0.22857142857142856,0.2,0,0,0.02857142857142857,0.4857142857142857,35,31,1,37.75757575757576,35,0,11,31,135,78,0,112,6708810
Michigan,0.358974358974359,0.3076923076923077,0.02564102564102564,0.01282051282051282,0,0.01282051282051282,0.5512820512820513,78,67,8,37.4078947368421,76,2,25,18,625,440,2,674,9900506
Minnesota,0.3770491803278688,0.16393442622950818,0.04918032786885246,0.04918032786885246,0.06557377049180328,0.04918032786885246,0.6065573770491803,61,53,6,35.26229508196721,59,2,21,19,110,60,17,339,5420541
Mississippi,0.38461538461538464,0.35384615384615387,0.015384615384615385,0.015384615384615385,0,0,0.5538461538461539,65,56,6,37.389830508474574,63,2,9,5,142,110,6,279,2990976
Missouri,0.36879432624113473,0.3404255319148936,0.02127659574468085,0.0070921985815602835,0,0,0.5106382978723404,141,128,9,35.992592592592594,131,10,21,1,371,273,14,556,6043708
Montana,0.12903225806451613,0,0,0,0.12903225806451613,0,0.8064516129032258,31,28,0,36.9,30,1,4,3,15,9,0,147,1014402
Nebraska,0.3333333333333333,0.20833333333333334,0.08333333333333333,0,0.041666666666666664,0,0.6666666666666666,24,21,2,36.916666666666664,23,1,5,30,57,39,9,111,1869300
Nevada,0.4791666666666667,0.15625,0.2916666666666667,0.020833333333333332,0.010416666666666666,0,0.40625,96,87,4,38.03191489361702,93,3,27,12,157,87,7,292,2790366
New Hampshire,0,0,0,0,0,0,0.9230769230769231,13,13,0,38.53846153846154,13,0,6,28,21,5,0,81,1322660
New Jersey,0.5735294117647058,0.4411764705882353,0.11764705882352941,0.014705882352941176,0,0,0.3088235294117647,68,60,5,37.76119402985075,66,2,14,34,401,291,2,194,8907384
New Mexico,0.6320754716981132,0.009433962264150943,0.6037735849056604,0,0.018867924528301886,0,0.24528301886792453,106,92,7,36.23232323232323,100,6,19,10,106,59,4,222,2086890
New York,0.5445544554455446,0.45544554455445546,0.07920792079207921,0.009900990099009901,0,0,0.3465346534653465,101,96,4,39.677083333333336,97,4,37,32,648,362,18,465,19691032
North Carolina,0.38461538461538464,0.3269230769230769,0.05128205128205128,0.00641025641025641,0,0,0.5641025641025641,156,149,4,39.86092715231788,151,5,33,12,452,315,5,771,9845432
North Dakota,0.45454545454545453,0,0,0,0.45454545454545453,0,0.5454545454545454,11,8,2,31,11,0,2,20,11,4,0,76,723626
Ohio,0.4,0.36129032258064514,0.0064516129032258064,0.012903225806451613,0,0.01935483870967742,0.5419354838709678,155,134,13,36.324675324675326,150,5,38,13,434,309,18,800,11572232
Oklahoma,0.31097560975609756,0.1951219512195122,0.054878048780487805,0.018292682926829267,0.042682926829268296,0,0.6097560975609756,164,144,14,38.25,161,3,36,11,191,127,3,433,3853405
Oregon,0.14772727272727273,0.07954545454545454,0.06818181818181818,0,0,0,0.7159090909090909,88,82,4,39.61176470588235,86,2,27,14,78,43,4,389,3928030
Pennsylvania,0.4444444444444444,0.3888888888888889,0.05555555555555555,0,0,0,0.4351851851851852,108,92,10,37.19047619047619,105,3,27,21,594,440,25,918,12783536
Rhode Island,0.75,0.5,0.25,0,0,0,0.25,4,3,0,41,4,0,0,26,31,18,0,34,1052856
South Carolina,0.3409090909090909,0.3068181818181818,0.022727272727272728,0.011363636363636364,0,0,0.5681818181818182,88,82,2,39.97701149425287,84,4,17,11,296,224,1,470,4768498
South Dakota,0.23529411764705882,0,0,0.058823529411764705,0.17647058823529413,0,0.5882352941176471,17,16,1,35.4375,17,0,6,6,12,3,0,71,845270
Tennessee,0.2589928057553957,0.22302158273381295,0.02158273381294964,0.007194244604316547,0,0.007194244604316547,0.6402877697841727,139,129,5,38.91851851851852,132,7,34,20,327,223,4,676,6496130
Texas,0.5218295218295218,0.20582120582120583,0.29521829521829523,0.012474012474012475,0.002079002079002079,0.006237006237006237,0.36382536382536385,481,425,38,35.89140271493213,451,30,89,12,1133,760,21,1780,26500674
Utah,0.36666666666666664,0.11666666666666667,0.2,0,0.03333333333333333,0.016666666666666666,0.6,60,57,2,35,60,0,16,2,49,31,5,295,2903685
Vermont,0.1111111111111111,0,0,0,0.1111111111111111,0,0.7777777777777778,9,8,1,44.666666666666664,9,0,4,5,9,5,2,59,627129
Virginia,0.49473684210526314,0.42105263157894735,0.042105263157894736,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.47368421052631576,95,84,8,36.81720430107527,89,6,26,35,315,225,35,601,8267875
Washington,0.39473684210526316,0.13815789473684212,0.13815789473684212,0.05921052631578947,0.046052631578947366,0.013157894736842105,0.4342105263157895,152,137,9,36.95205479452055,147,5,52,19,155,86,26,483,6973281
West Virginia,0.16666666666666666,0.14814814814814814,0,0.018518518518518517,0,0,0.6851851851851852,54,48,1,42.84313725490196,52,2,12,22,54,30,0,225,1852985
Wisconsin,0.3516483516483517,0.21978021978021978,0.06593406593406594,0.02197802197802198,0.04395604395604396,0,0.6153846153846154,91,85,5,37.157303370786515,90,1,24,15,157,103,29,437,5743653
Wyoming,0.2857142857142857,0,0.14285714285714285,0,0.14285714285714285,0,0.6428571428571429,14,13,1,39.857142857142854,13,1,5,7,15,9,0,89,583131
